NAME,Rep
Watertown Town,0.294728948
Concord,0.260941731
Westwood,0.439751422
Hatfield,0.403345725
Pittsfield,0.320880945
Sharon,0.314304711
Saugus,0.56617747
New Marlborough,0.352468427
New Braintree,0.605136437
Fall River,0.433312786
Ashby,0.626487325
Phillipston,0.636893204
Lynn,0.351721314
North Attleborough,0.542633148
Quincy,0.39616515
Middlefield,0.495114007
Hingham,0.427128913
Dighton,0.611353712
Bedford,0.369575998
Monterey,0.247292419
Windsor,0.416044776
Granby,0.558674151
Raynham,0.574225749
Harvard,0.333951271
Manchester-by-the-Sea,0.379243721
Leyden,0.390438247
Southbridge Town,0.467984529
Plainville,0.555377207
Royalston,0.552706553
Plymouth,0.527541411
Boylston,0.502271933
Lowell,0.369276495
Montgomery,0.624528302
Belchertown,0.476360181
Conway,0.299595142
Scituate,0.462484523
Holland,0.656046343
Holyoke,0.315922296
Salisbury,0.563825364
Eastham,0.404916261
East Bridgewater,0.603992514
Northbridge,0.592601404
Mashpee,0.504897596
Norfolk,0.518723543
Beverly,0.411725338
Haverhill,0.488632215
West Newbury,0.457831325
Pembroke,0.563865863
Littleton,0.425929012
Franklin Town,0.483155211
Winchester,0.379273175
Bellingham,0.550990871
Gardner,0.521113901
Dartmouth,0.482864543
Hull,0.436344185
Ayer,0.482279693
Everett,0.334809815
Medford,0.32226153
Somerville,0.17453638
West Tisbury,0.229927007
Holbrook,0.497844456
East Brookfield,0.65735415
Florida,0.5225
Plympton,0.59789823
Seekonk,0.534975244
Bernardston,0.428456592
Wendell,0.319796954
Springfield,0.268999384
Pelham,0.182513661
Grafton,0.477787499
Milford,0.466946333
Uxbridge,0.58117466
